text,label
"Free Viagra now!!!",1
"Click this link to win a million dollars!!",1
"Congratulations! You've won a free trip to Hawaii.",1
"Hey, how are you doing?",0
"Reminder: Your appointment is tomorrow at 2 PM.",0
"Exclusive offer for our loyal customers.",1
"URGENT: Your account has been compromised. Click here to secure it.",1
"Hello, please find attached the document you requested.",0
"Special discount for today only!",1
"Your package has been delivered. Click here to track it.",1
"Meeting at 3 PM in the conference room.",0
"Get rich quick with this amazing opportunity!",1
"Hi, can you send me the report by EOD?",0
"Claim your prize now!",1
"Please ignore the previous email, it was sent in error.",0
"Last chance to claim your prize! Click here.",1
"Are you interested in earning extra income?",1
"Meeting rescheduled to 4 PM tomorrow.",0
"Your Amazon order has been confirmed.",0
"Congratulations! You've won a new car.",1
"Limited time offer: 50% off all products.",1
"Hi, I hope you're having a great day.",0
"Your account balance is low. Please recharge now.",1
"Important: Your password has been reset. Click here to set a new one.",1
"Check out our new collection. Shop now!",1
"Reminder: Parent-teacher meeting tomorrow at 10 AM.",0
"Get in shape with our fitness program!",1
"Your subscription has been renewed. Thank you!",0
"Exclusive deal for our subscribers. Don't miss out!",1
"Please confirm your attendance for the event.",0
"Open immediately! You've won a jackpot.",1
"Hello, how can I assist you today?",0
"Upgrade now to unlock premium features.",1
"Your friend has invited you to join our community.",0
"Limited stock available. Order now!",1
"Your monthly statement is now available online.",0
